code,name,changepercent,trade,open,high,low,settlement,volume,turnoverratio,amount,per,pb,mktcap,nmc
002112,三变科技,-7.323,7.72,8.02,8.14,7.6,8.33,17154584.0,9.33316,135597682.0,-12.452,4.6690000000000005,155635.2,141895.577092
002111,威海广泰,-4.378,12.45,12.93,12.98,12.4,13.02,5497332.0,1.62676,69991643.0,41.5,1.741,475375.24248,420724.02528
002110,三钢闽光,-6.268,16.0,16.7,16.75,15.88,17.07,41955702.0,4.23527,688151174.0,5.517,1.534,2615014.6544,1585003.28
002109,兴化股份,-6.792,3.98,4.22,4.23,3.98,4.27,21190592.0,3.88826,87336502.0,13.533,1.187,419072.026022,216905.396732
002108,沧州明珠,-8.556,5.13,5.44,5.55,5.12,5.61,66940028.0,4.7209900000000005,359990715.0,10.262,2.239,727395.114087,727395.114087
002107,沃华医药,-6.69,7.95,8.36,8.39,7.95,8.52,3816197.0,1.09567,31370065.0,61.154,4.828,286801.02,276896.05617
002106,莱宝高科,-4.931,8.29,8.52,8.97,8.29,8.72,42719022.0,6.0693,366341185.0,41.45,1.544,585121.59664,583495.299258
002105,信隆健康,-5.03,4.72,4.92,4.97,4.71,4.97,4753154.0,1.28987,23073736.0,38.065,3.395,173932.0,173932.0
002104,恒宝股份,-3.105,7.49,7.5,8.13,7.41,7.73,44635143.0,7.40089,346815139.0,32.851,2.802,533309.5712,451725.925875
002103,广博股份,-7.236,5.0,5.28,5.37,4.91,5.39,33206915.0,8.87131,172142730.0,25.0,1.573,272811.7155,187159.1025
002102,ST冠福,-2.404,2.03,2.13,2.18,2.02,2.08,145621570.0,7.31204,307170252.0,18.796,0.96,534668.76687,404280.952761
002101,广东鸿图,-6.915,8.75,9.28,9.3,8.71,9.4,8991408.0,2.11269,81485105.0,9.511,1.032,465817.94525,372392.25975
002100,天康生物,10.054,8.21,7.37,8.21,7.18,7.46,56673903.0,5.88267,455915095.0,19.548000000000002,2.548,790955.512389,790955.512389
002099,海翔药业,-6.0,5.64,5.89,5.98,5.63,6.0,38317656.0,2.40727,223608781.0,14.842,1.694,913014.622692,897743.702292
002098,浔兴股份,-10.029,9.42,10.23,10.25,9.42,10.47,26162971.0,7.30809,257565093.0,28.545,2.675,337236.0,337236.0
002097,山河智能,-5.121,6.67,6.89,7.04,6.67,7.03,22274003.0,2.59428,152538938.0,34.135,1.5350000000000001,725768.346155,572674.606206
002096,南岭民爆,-3.807,6.57,6.74,6.98,6.56,6.83,4607302.0,1.2423600000000001,31080598.0,93.857,1.217,243935.559,243649.764
002095,生 意 宝,-10.006,30.4,31.01,32.86,30.4,33.78,14728062.0,5.85287,462727126.0,380.0,9.069,768268.8,764979.79664
002094,青岛金王,-7.383,5.52,5.79,5.92,5.51,5.96,27400856.0,4.5450800000000005,157438205.0,5.208,1.303,382288.662048,332783.554416
002093,国脉科技,-5.135,10.16,10.58,11.28,10.14,10.71,70287432.0,7.21755,750805368.0,61.725,3.227,1023620.0,989421.41968
002092,中泰化学,-3.838,9.27,9.5,9.77,9.25,9.64,42116403.0,2.07023,397810252.0,8.283,1.07,1989758.777346,1885874.831964
002091,江苏国泰,-6.579,6.39,6.65,6.79,6.38,6.84,30705384.0,3.15824,202269044.0,12.78,1.332,1003724.614755,621255.408354
002090,金智科技,3.764,19.85,19.3,20.55,19.06,19.13,5828062.0,2.51788,115536978.0,30.737,3.862,472038.76444,459462.09028
002089,新 海 宜,-1.384,5.7,5.64,6.15,5.5,5.78,138529704.0,14.794,810514757.0,-67.857,4.264,783561.68112,533743.07805
002088,鲁阳节能,-4.895,10.88,11.24,11.4,10.88,11.44,6651918.0,2.14176,74234134.0,17.836,2.025,393810.339904,337913.415104
002087,新野纺织,-6.346,4.28,4.5,4.61,4.27,4.57,40115127.0,4.9182500000000005,178483826.0,11.965,0.99,349587.97538,349093.338776
002086,ST东海洋,-5.0,4.75,4.89,4.96,4.75,5.0,36149284.0,7.6005,174348820.0,26.33,0.988,359266.25,225918.17
002085,万丰奥威,-5.765,8.01,8.38,8.46,8.01,8.5,23067056.0,1.09129,191059597.0,19.537,2.859,1751690.622078,1693102.141908
002084,海鸥住工,-5.182,4.94,5.16,5.17,4.94,5.21,5548985.0,1.11444,28106282.0,27.203,1.569,250157.958232,245969.927996
002083,孚日股份,-2.582,5.66,5.77,5.77,5.6,5.81,6702415.0,0.77478,38010850.0,12.578,1.53,513928.00283,489633.936316
002082,万邦德,-5.808,8.92,9.2,9.37,8.92,9.47,6640300.0,2.7900400000000003,60744358.0,21.756,1.453,212296.0,212296.0
002081,金 螳 螂,-2.799,10.42,10.55,10.94,10.41,10.72,20172010.0,0.7804200000000001,214832386.0,14.274000000000001,2.17,2788817.853938,2693334.931052
002080,中材科技,-5.124,12.22,12.7,12.88,12.22,12.88,12282031.0,1.91907,153900255.0,12.85,1.682,1577436.169712,782080.0
